えっ、うっせやん。	えっうせやん。
シュヴァイツァーの爪の垢煎じて飲ましたりたいわ。	しゅヴぁいつぁのつめのあかせんじてのましたりたいわ。
デーヴィスさんはえらい疲れとるように見えるでぇ。	でえヴぃすさんわえらいつかれとるよおにみえるでえ。
スティーヴはジェーンから手紙をもろたらしんやわ。	すてぃいヴわじぇえんからてがみおもろたらしんやわ。
あの子はモーツァルトとかベートーヴェンとかの、古典派の作曲家が好っきゃねん。	あのこわもおつぁるととかべえとおヴぇんとかの、こてんはのさっきょくかがすっきゃねん。
ストラットフォード・オン・エイヴォンは、シェイクスピアの生まれたとこやけど、毎年多くの観光客が訪れます。	すとらっとふぉおど・おん・えいヴぉんわ、しぇいくすぴあのうまれたとこやけど、まいとしおおくのかんこおきゃくがおとずれます。
あいつピューマ慣らすのに、どえらい難儀したっちゅう話やで。	あいつわぴゅうまおならすのに、どえらいなんぎしたっちゅうはなしやで。
あいつがクビになるっちゅうんもけったいな話やなぁ。	あいつがくびになるっちゅうんもけったいなはなしやなあ。
クリスはヴァンパイア・ナイトを倒した。	くりすわヴぁんぱいあ・ないとおたおした。
あいつのあだ名も言い得て妙ってやつやんな。	あいつのあだなもいいえてみょおってやつやんな。
イタリア旅行で彼は、いくつか景勝の地として有名な都市、ゆうたら、ナポリやフィレンツェを訪れた。	いたりありょこおでかれわ、いくつかけえしょおのちとしてゆうめえなとし、ゆうたら、なぽりやふぃれんつぇおおとずれた。
ゼロっちゅう概念は、ヒンドゥー文化に由来しとる。	ぜろっちゅうがいねんわ、ひんどぅうぶんかにゆらいしとる。
そのいたずら娘はそっ知らん顔をした。	そのいたずらむすめわそっしらんかおおした。
スミスさん、ピエール・デュボワをご紹介しますわ。私の親友やねん。	すみすさん、ぴええる・でゅぼわおごしょおかいしますわ。わたしのしんゆうやねん。
どないすんの、この店。完ッ全に閑古鳥鳴いてもおとるやんか。	どないすんの、このみせ。かんっぜんにかんこどりないてもおとるやんか。
頂上へ着いたら皆でヤッホーと叫んだ。	ちょおじょおえついたらみなでやっほおとさけんだ。
あっベルが鳴っとる。	あっべるがなっとる。
彼女は彼にぴょこんとおじぎをした。	かのじょわかれにぴょこんとおじぎおした。
男子生徒のめいめいが、帽子に学校のバッジをつけとります。	だんしせえとのめえめえが、ぼおしにがっこおのばっじおつけとります。
しもた、ヒューズ飛んでしもた。	しもた、ひゅうずとんでしもた。
あたしはポピュラー音楽が聞きたいねん。	あたしわぽぴゅらあおんがくがききたいねん。
猫はにゃーにゃーと鳴く。	ねこわにゃあにゃあとなく。
私のいっちゃん上の兄が父の名代としてその集まりに出た。	わたしのいっちゃんうえのあにがちちのみょおだいとしてそのあつまりにでた。
彼は首相にインタビューした。	かれわしゅしょおにいんたびゅうした。
あの会社がえらい勢いででっかなったんはあれや、なんちゅうかその、何とも言えへん戦略によるもんやったちゅうことやな。	あのかいしゃがえらいいきおいででっかなったんわあれや、なんちゅうかその、なんともいえへんせんりゃくによるもんやったちゅうことやな。
私はいっつもミネラルウォーターを持って歩いとる。	わたしわいっつもみねらるうぉおたあおもってあるいとる。
その子はカバン開けてうちの鍵探したんやけど、見つからへんかってん。	そのこわかばんあけてうちのかぎさがしたんやけど、みつからへんかってん。
あの子がスタッフをまとめれると思います？	あのこがすたっふをまとめれるとおもいます？
牛乳はあんたの体にええやろ、毎日飲んだほうがええに。	ぎゅうにゅうわあんたのからだにええやろ、まいにちのんだほおがええに。
あんたは流感になりかけとるか、もっとえらい病気かもしれへん。	あんたわりゅうかんになりかけとるか、もっとえらいびょおきかもしれへん。
彼女はその事件を、生き生きとした筆致で描写した。	かのじょわそのじけんお、いきいきとしたひっちでびょおしゃした。
彼は自らの生涯を、インドで病人をよぉしたるのに捧げるつもりや。	かれわみずからのしょおがいお、いんどでびょおにんおよおしたるのにささげるつもりや。
奇妙なやつで、あいつは人から言われぇへんと口を聞かへん。	きみょおなやつで、あいつわひとからいわれえへんとくちおきかへん。
あしらその山脈で地元のガイドさん雇ってん。	あしらわそのさんみゃくでじもとのがいどさんやとってん。
彼女は息子にうちで行儀よおするようにゆうた。	かのじょわむすこにうちでぎょおぎよおするよおにゆうた。
彼はライフルを拾てきて、それで標的をねろた。	かれわらいふるおひろてきて、それでひょおてきおねろた。
私はこの本に八百円もはろたんやで？	わたしわこのほんにはっぴゃくえんもはろたんやで？
がいな気分悪りなって入院したんやけど、いうてたいしたことなかった。	がいなきぶんがわりなってにゅういんしたけど、ゆうてたいしたことなかった。
アフィ狙いの釣り記事ってやっちゃね。英語関係のコミュのあっちゃこっちゃにマルチポストしとるわ。	あふぃねらいのつりきじってやっちゃね。ええごかんけえのこみゅのあっちゃこっちゃにまるちぽすとしとるわ。
トラベラーズチェックを現金に替えてくれるんはこの窓口やろか？	とらべらあずちぇっくおげんきんにかえてくれるんわこのまどぐちやろか？
今日の映画は、サウンド・オブ・ミュージックやで。	きょおのええがわ、さうんど・おぶ・みゅうじっくやで。
大体うちら日本人は、他所の国の言葉を話すのにちょっとビビりすぎや。	だいたいうちらにほんじんわ、よそのくにのことばおなすのにちょっとびびりすぎや。
店の人は私のこと分かってくれる様んなって、私はいっつもおんなじウェイトレスさんに応対してもろとった。	みせのひとわわたしのことわかってくれるよおんなって、わたしわいっつもおんなじうぇいとれすさんにおおたいしてもろとった。
この丘からは何百万っちゅう星が見える。	このおかからわなんびゃくまんっちゅうほしがみえる。
あの子は大学へ行ったら、親に迷惑かからん様にしたろと思とった。	あのこわだいがくえいったら、おやにめいわくかからんよおにしたろとおもとった。
サブマリンのペリスコープが、水中からにょーんと突き出とった。	さぶまりんのぺりすこおぷが、すいちゅうからにょおんとつきでとった。
別にブルマに特別な関心があるわけやない。	べつにぶるまにとくべつなかんしんがあるわけやない。
そないなフェティシズムはあらへんと思う。	そないなふぇてぃしずむわあらへんとおもう。
ウッド夫人がこさえてくれるおいしい田舎風の料理を食べたし、ミルクをようさん飲みました。	うっどふじんがこさえてくれるおいしいいなかふうのりょおりおたべたし、みるくおよおさんのみました。
うちのかみさんが瓶を割ってしもたもんで、勝手場の床が牛乳まみれになっとる。	うちのかみさんがびんおわってしもたもんで、かってばのゆかがぎゅうにゅうまみれになっとる。
喧嘩しとった二人の子ぉは、お互いにしかめっ面をして座っとった。	けんかしとったふたりのこおわ、おたがいにしかめっつらおしてすわっとった。
事業をやりもって、事業が世話んなっとる不動産を、切って売ってしたろなんて有り得へんねん。	じぎょおおやりもって、じぎょおがせわんなっとるふどおさんお、きってうってしたろなんてありえへんねん。
せやけどペパーバーグは、そのオウムを研究することによって、動物に対する考え方が変わったと言うとる。	せやけどぺぱあばあぐわ、そのおおむおけんきゅうすることによって、どおぶつにたいするかんがえかたがかわったとゆうとる。
パックマンは何かしとったら、追ってくるモンスターを逆襲して食ぅたれるようになる。	ぱっくまんわなんかしとったら、おってくるもんすたあおぎゃくしゅうしてくうたれるよおになる。
その数百年後に、フォークが西洋のテーブルに現れることになるが、すぐに受け入れられたわけやなかった。	そのすうひゃくねんごに、ふぉおくがせえよおのてえぶるにあらわれることになるが、すぐにうけいれられたわけやなかった。
トップのリーダーは犬の行動学やったらアルファっちゅうて、後ベータ、ガンマって続くんや。	とっぷのりいだあわいぬのこおどおがくやったらあるふぁっちゅうて、あとべえた、がんまってつづくんや。
ウィーンまで歩いたらどんぐらいかかるやろか？	うぃいんまであるいたらどんぐらいかかるやろか？
すんません、この辺はよおわからんのですわ。	すんません、このへんわよおわからんのですわ。
目標はな、授業をどんなんにするか決めるときの、学生がええ感じに勉強してくれるメディア教材の選び方と、使い方を解っとくっちゅうことや。	もくひょおわな、じゅぎょおおどんなんにするかきめるときの、がくせえがええかんじにべんきょおしてくれるめでぃあきょおざいのえらびかたと、つかいかたおわかっとくっちゅうことや。
とりあえず店の前、掃除しといてくれへんか？打ち水も頼んます。	とりあえずみせのまえ、そおじしといてくれへんか？うちみずもたのんます。
人々はトーナメントが始まる何ヶ月も前に、これらの入場券を買うとる。	ひとびとわとおなめんとがはじまるなんかげつもまえに、これらのにゅうじょおけんおこおとる。
彼女の魅力は言葉ではうまいこと言えへん、とその芸術家は叫んだ。	かのじょのみりょくわことばでわうまいこといえへん、とそのげえじゅつかわさけんだ。
見たらすぐわかる様なことをえらい小難しぃように言うてくる奴は、あんまり頭がええ様には思わん。	みたらすぐわかるよおなことおえらいこむずかしいよおにゆうてくるやつわ、あんまりあたまがええよおにわおもわん。
デザインも、アーチ型のロゴデザインにより、今風で登場感、躍動感あるもんに仕上げました。	でざいんも、ああちがたのろごでざいんにより、いまふうでとおじょおかん、やくどおかんあるもんにしあげました。
そないに急いて運転して、一体どこへ行くっちゅうねん。	そないにせいてうんてんして、いったいどこえいくっちゅうねん。
時間はあるさかい、安全運転で頼むで。	じかんわあるさかい、あんぜんうんてんでたのむで。
ディスプレイはモニタとも言うて、コンピュータやらの機器から出力される静止画、それか動画の映像信号を表示する機器ってやつや。	でぃすぷれえわもにたともゆうて、こんぴゅうたとかのききからしゅつりょくされるせえしが、それかどおがのええぞおしんごおおひょおじするききってやつや。
撃ち合いがちょっとマシんなったとき、おとんが走ってフラットへ行って、私らにサンドイッチ持ってきてくれたわ。	うちあいがちょっとましんなったとき、おとんがはしってふらっとえいって、わたしらにさんどいっちもってきてくれたわ。
ギリシャのフットボールの試合やと、かたっぽのチームの選手は、相手チームの陣地のラインの向こう側へボールを持ってこうとしたんやわ。	ぎりしゃのふっとぼおるのしあいやと、かたっぽのちいむのせんしゅわ、あいてちいむのじんちのらいんのむこおがわえぼおるおもってこおとしたんやわ。
泳者のシンディー・ニコラスは、へとへとんなって泳ぎ切った後、ドーバーでよぉやっと陸へ上がってきよったけど、海峡水泳協会のスポークスマンは、彼女がめっちゃ元気やと発表した。	ええしゃのしんでぃい・にこらすわ、へとへとんなっておよぎきったあと、どおばあでかろおじてりくえあがってきよったけど、かいきょおすいええきょおかいのすぽおくすまんわ、かのじょがめっちゃげんきやとはっぴょおした。
若い男と女が人里離れた洋館で恐怖の一夜を過ごすっちゅう、ホラーの定番や。	わかいおとことおんながひとざとはなれたよおかんできょおふのいちやおすごすっちゅう、ほらあのてえばんや。
