女の子がキッキッ嬉しそうや。	おんなのこがきっきっうれしそおや。
ツァツォに旅行した。	つぁつぉにりょこおした。
民衆がテュルリー宮殿に侵入した。	みんしゅうがてゅるりいきゅうでんにしんにゅうした。
ハイチ共和国でトゥーサンルーヴェルテュールが勝利を収められたんは、実際黄熱病のおかげやった。	はいちきょおわこくでとぅうさんるうヴぇるてゅうるがしょおりおおさめられたんわ、じっさいおおねつびょおのおかげやった。
レジャンドルは民衆をテュルリー宮殿に招ぇた。	れじゃんどるわみんしゅうおてゅるりいきゅうでんにまねえた。
助言はできへんとデュパンは言うた。	じょげんわできへんとでゅぱんわゆうた。
フランス人シェフと日本人シェフは全然ちゃう。	ふらんすじんしぇふとにほんじんしぇふわぜんぜんちゃう。
中国の外交団にアタッシェとして派遣された。	ちゅうごくのがいこおだんにあたっしぇとしてはけんされた。
ファシズム勢力との総力戦に臨む。	ふぁしずむせえりょくとのそおりょくせんにのぞむ。
家具商人のフィシェルは、荷車と仔馬を貸してくれた。	かぐしょおにんのふぃしぇるわ、にぐるまとこうまおかしてくれた。
ローカル路線にはファンも多い。	ろおかるろせんにわふぁんもおおい。
フェイントで相手をかわしてからシュートでフィニッシュした。	ふぇいんとであいておかわしてからしゅうとでふぃにっしゅした。
1877、プフェファーにより浸透現象が発見された。	せんはっぴゃくななじゅうなな、ぷふぇふぁあによりしんとおげんしょおがはっけんされた。
揺れるフェリーに乗るんは私にとって苦行や。	ゆれるふぇりいにのるんわわたしにとってくぎょおや。
ホルロ・アラ・ティタルッフォっちゅう特別な料理も出たんや。	ほるろ・あら・てぃたるっふぉっちゅうとくべつなりょおりもでたんや。
笛の音がなったらウサギのキッドが早速ぴょんと跳ねた。	ふえのおとがなったらうさぎのきっどがさっそくぴょんとはねた。
あの旅客は噂のキャフェに行くようや。	あのりょきゃくわうわさのきゃふぇにいくよおや。
目標は一等賞や。	もくひょおわいっとおしょおや。
ウサギのキッドは気分よぉピョン、またピョンと飛び続けた。	うさぎのきっどわきぶんよぉぴょん、またぴょんととびつづけた。
アフタヌーンティーを楽しもか。	あふたぬうんてぃいおたのしもか。
彼女はティピカルなフェミニストや。	かのじょわてぃぴかるなふぇみにすとや。
助手らぁとミッツィは探しとる書類を見つけられなんだ。	じょしゅらあとみっつぃわさがしとるしょるいおみつけられなんだ。
フィレンツェ、パドヴァ、ヴェネツィアはどれもイタリアの都市や。	ふぃれんつぇ、ぱどヴぁ、ヴぇねつぃあわどれもいたりあのとしや。
楽譜へ次のように書いてあるんが、エーフェリチェです。	がくふえつぎのよおにかいてあるんが、ええふぇりちぇです。
ショペンハウエルとニーチェの哲学書を本棚から取り出した。	しょぺんはうえるとにいちぇのてつがくしょおほんだなからとりだした。
早いとこ召使い全員に知らせたろ。	はやいとこめしつかいぜえいんにしらせたろ。
重たい綿入を脱いで、あわせへ着替える。	おもたいわたいれおぬいで、あわせえきがえる。
ボストンで、とあるチョプスイ屋へ入って夕飯を食ぅた。	ぼすとんで、とあるちょぷすいやえはいってゆうはんおくうた。
ろくすっぽ休憩をとらんと働いた。	ろくすっぽきゅうけえおとらんとはたらいた。
かつて一人で国府へ侵入した。	かつてひとりでこくふえしんにゅうした。
せやけど、今日お前がここへ御入来になったんは、どないなご用なん？	せやけど、きょおおまえがここえごじゅらいになったんわ、どないなごよおなん？
サブフランチャイザーを増やして目指せ百店舗。	さぶふらんちゃいざあおふやしてめざせひゃくてんぽ。
四国でお遍路を行脚しょう。	しこくでおへんろおあんぎゃしょお。
