あんたらこんなとこに居ったらあかんで。	あんたらこんなとこにいったらあかんで。
せやけどそんなこと言うたらなんもできへんで？	せやけどそんなこというたらなんもできへんで？
せやな、それでいこか。	せやな、それでいこか。
あんた暇かえ？	あんたひまかえ？
今からやったら惣菜も安なるさかい、ぼちぼち買いにいこか。	いまからやったらそおざいもやすなるさかい、ぼちぼちかいにいこか。
あーせやせや、思い出したわそれやわ。	ああせやせや、おもいだしたわそれやわ。
なんか忘れとるんよなぁ、なんやったかいなぁ。	なんかわすれとるんよなぁ、なんやったかいなぁ。
しもた、ゴミ出すの忘れとったわ。	しもた、ごみだすのわすれとったわ。
まぁしゃあないな。	まぁしゃあないな。
なんともけったいな天気やな。	なんともけったいなてんきやな。
こらもうあかんわ、こんなんよぉしやんわ。	こらもおあかんわ、こんなんよぉしやんわ。
こないだあそこの店入ったんやけどな、めっちゃうまかってん。	こないだあそこのみせはいったんやけどな、めっちゃうまかってん。
モタモタせんとはよ行きぃ。	もたもたせんとはよいきぃ。
ドアホ、ほんなことよぉしよかれ。	どあほ、ほんなことよぉしよかれ。
ええやん、めっちゃええやん。	ええやん、めっちゃええやん。
今日はあんま持っとらへんねん、これでかにしてくれんやろか。	きょおわあんまもっとらへんねん、これでかにしてくれんやろか。
アイツ自分から言うた癖にけぇへんやんけ。	あいつじぶんからいうたくせにけぇへんやんけ。
まだこやんのかいな。	まだこやんのかいな。
どないしよかなぁ、明日でもええんやけどなぁ。	どないしよかなぁ、あしたでもええんやけどなぁ。
我がのことはするさかいに、ほっといてくれんかい。	わがのことわするさかいに、ほっといてくれんかい。
あっかんわ、やってもうた。	あっかんわ、やってもおた。
しもたわ、これあかん。	しもたわ、これあかん。
あいた、アホなことした。	あいた、あほなことした。
あいつまだ帰ってこぉへんのかいな、どこほっつき歩いとんねん。	あいつまだかえってこぉへんのかいな、どこほっつきあるいとんねん。
あんたこれなんぼやろか。	あんたこれなんぼやろか。
あんた刺身あめてまうで、はよ食ぅたりぃ。	あんたさしみあめてまうで、はよくぅたりぃ。
前のこと思たらだいぶよぉなったと思うけどな。	まえのことおもたらだいぶよぉなったとおもうけどな。
何すんねんアホ、ボケぇ。	なにすんねんあほ、ぼけぇ。
もぉーどないしたらええと思う？	もおおどないしたらええとおもう？
すまなんだな、これで堪忍な。	すまなんだな、これでかんにんな。
まめぐるんやのうて、もうちょいこう、綺麗に食わんかい。	まめぐるんやのおて、もおちょいこお、きれいにくわんかい。
何言うとるかよおわからんけど、まぁいっぺん見してみぃ。	なにいうとるかよおわからんけど、まぁいっぺんみしてみぃ。
貸してみぃ、やったるさかい。	かしてみぃ、やったるさかい。
もぉだいぶつこてしもたで、こんだけしかあらへん。	もおだいぶつこてしもたで、こんだけしかあらへん。
やけどなぁ、そうなってしもたらどないもこないもならへんで。	やけどなぁ、そおなってしもたらどないもこないもならへんで。
そうは言うてもやな、あんたが言うみたいにうまいこといかへんねん。	そおわいうてもやな、あんたがいうみたいにうまいこといかへんねん。
なんや、またしもたったんか。	なんや、またしもたったんか。
車を動かしはったんはあんたやろ？	くるまおうごかしはったんわあんたやろ？
あんたよぉしやんやろ？	あんたよおしやんやろ？
予定はささってですに？	よていわささってですに？
なんべんもおんなじ事しよるに？	なんべんもおんなじことしよるに？
なんでぇな。	なんでぇな。
なんでやねん、全然ちゃうやんか、いっしょくたにせんといて。	なんでやねん、ぜんぜんちゃうやんか、いっしょくたにせんといて。
もうほんま自分なんなん？	もおほんまじぶんなんなん？
せやろか？	せやろか？
せやで。	せやで。
しらんがな。	しらんがな。
しらんけど。	しらんけど。
しらんで。	しらんで。
しらんでほんまに。	しらんでほんまに。
しらんわ。	しらんわ。
しらんやん。	しらんやん。
しらんっちゅうてんねん。	しらんっちゅうてんねん。
しらんもんはしらん。	しらんもんわしらん。
自分しっとったんちゃうん？	じぶんしっとったんちゃうん？
かまへんがな。	かまへんがな。
かまへんで。	かまへんで。
今ええわ。	いまええわ。
そのへん置いといて。	そのへんおいといて。
いらん言うてるやろ。	いらんゆうてるやろ。
ほんまぁ。	ほんまぁ。
さよか。	さよか。
そうなんや。	そおなんや。
そうかいな。	そおかいな。
好きにしはったらよろしがな。	すきにしはったらよろしがな。
